Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,LogReturns
1711929600000,0.00024812,0.00024841,0.00023934,0.00024477,43058878252.0,1711933199999,10501772.88130576,305312,13170781385.0,3221196.59868541,0.0
1711933200000,0.00024479,0.00024492,0.0002421,0.0002429,15658681555.0,1711936799999,3809746.84735655,318589,8115719960.0,1974332.61650941,-0.0076691581006917324
1711936800000,0.00024288,0.00024362,0.00024253,0.00024293,10224403067.0,1711940399999,2485651.36247586,228493,5209099578.0,1266354.33897228,0.00012349998986538668
1711940400000,0.00024293,0.00024344,0.00024186,0.00024278,9872799206.0,1711943999999,2394000.00805674,208151,5173147726.0,1254228.06279567,-0.0006176525283345299
1711944000000,0.00024277,0.00024326,0.00024,0.00024031,16900848345.0,1711947599999,4079700.31098851,222233,6962222410.0,1681354.30435292,-0.010225926944743587
1711947600000,0.00024032,0.00024197,0.00022,0.00022809,60299129365.0,1711951199999,13964293.53163826,374758,26246394511.0,6072546.37687848,-0.05218946861645911
1711951200000,0.00022807,0.00023449,0.00022698,0.00023313,47131573492.0,1711954799999,10951120.35058427,562050,26516871859.0,6161878.82640761,0.021855949980805593
1711954800000,0.00023313,0.00023495,0.00023251,0.00023349,23983010059.0,1711958399999,5613525.89714731,365353,12191951378.0,2853812.54399929,0.001543011750145855
1711958400000,0.0002335,0.00023356,0.00023056,0.00023151,21399989486.0,1711961999999,4964503.29643403,402049,11009762503.0,2554469.41001096,-0.008516180501785063
1711962000000,0.00023152,0.00023333,0.00023146,0.0002328,14963523095.0,1711965599999,3482472.86823643,300640,7726324273.0,1798222.3717725,0.00555664671966133
1711965600000,0.00023279,0.00023417,0.00023197,0.00023397,12504946315.0,1711969199999,2912812.77907012,237429,6401961243.0,1491205.71441155,0.005013186153233591
1711969200000,0.00023398,0.0002358,0.00023295,0.00023362,13268017196.0,1711972799999,3108452.40070233,288854,7216170488.0,1690592.65533841,-0.0014970382829663153
1711972800000,0.00023363,0.0002394,0.00023321,0.00023929,17884801248.0,1711976399999,4238941.86348025,287372,9323485006.0,2209840.5088303,0.02398034176367434
1711976400000,0.00023929,0.00024067,0.00023607,0.00023805,22847472062.0,1711979999999,5446882.72872269,385536,11974775498.0,2854823.3718603,-0.005195469850696681
1711980000000,0.00023808,0.00023937,0.00023014,0.00023204,27217750971.0,1711983599999,6371463.15684441,490257,12702393784.0,2973152.89633557,-0.025570965042664234
1711983600000,0.00023204,0.00023425,0.0002267,0.00022692,33409343381.0,1711987199999,7705583.8716031,523502,14253635825.0,3289766.49043703,-0.02231223813949715
1711987200000,0.00022692,0.00023033,0.00022587,0.00022859,22461813775.0,1711990799999,5126467.43563629,442623,11400890504.0,2601638.94049929,0.007332473413590302
1711990800000,0.00022858,0.00022894,0.00022525,0.00022749,14448071239.0,1711994399999,3281679.02888623,360304,7244618594.0,1646164.5775537,-0.004823724491003027
1711994400000,0.00022748,0.00023027,0.00022421,0.00022969,22641065694.0,1711997999999,5143474.1021584,362385,11583514846.0,2633524.92217358,0.009624292320709306
1711998000000,0.00022967,0.00023478,0.00022901,0.00023427,25247982338.0,1712001599999,5870099.74969569,316085,13688472144.0,3182018.0130215,0.01974372264103011
1712001600000,0.00023427,0.00023544,0.00023197,0.00023514,15180926835.0,1712005199999,3545750.0039482,254032,7512528333.0,1756102.6436767,0.003706785096901832
1712005200000,0.00023515,0.00023516,0.00023248,0.00023354,8500146443.0,1712008799999,1983910.64585019,162231,3795159336.0,885761.9417071,-0.0068277127920263496
1712008800000,0.00023354,0.00023434,0.00023297,0.00023344,6082603255.0,1712012399999,1420160.54538913,145972,2441776197.0,570114.37998577,-0.00042828387309334735
1712012400000,0.00023345,0.0002344,0.000233,0.0002333,7233629487.0,1712015999999,1690307.910111,121559,3702525149.0,865192.401211,-0.0005999057470911495
1712016000000,0.0002333,0.00023332,0.00022982,0.00023153,14601174665.0,1712019599999,3378897.70914929,279204,5758468043.0,1332237.19484752,-0.00761572426427728
1712019600000,0.00023152,0.00023329,0.00022969,0.00023141,10172232679.0,1712023199999,2357024.70751485,321406,4544601853.0,1053056.5918136,-0.00051842572552656
1712023200000,0.00023141,0.00023149,0.00021484,0.00021925,48143402524.0,1712026799999,10631154.68485156,452524,20086384656.0,4437508.98456921,-0.05397839778528805
1712026800000,0.00021926,0.0002215,0.00021422,0.00021637,28970506294.0,1712030399999,6301733.07615459,628901,14801960599.0,3219770.68070235,-0.013222726052954171
1712030400000,0.00021635,0.00021908,0.00021504,0.00021625,24569741465.0,1712033999999,5320686.8696588,463133,13241628372.0,2867256.09297043,-0.0005547593873494595
1712034000000,0.00021624,0.0002168,0.00021302,0.0002161,23023158800.0,1712037599999,4953724.99492338,462154,10377554892.0,2232952.71055586,-0.0006938822991484674
1712037600000,0.0002161,0.00021875,0.00021542,0.00021723,20969606853.0,1712041199999,4547722.75252964,315832,10904914611.0,2365906.7297483,0.005215436555998821
1712041200000,0.00021722,0.00021742,0.00021473,0.00021483,16733268747.0,1712044799999,3619321.30641274,308037,8963058377.0,1939187.2622641,-0.011109682381881038
1712044800000,0.00021485,0.00021549,0.00020652,0.0002076,30709961935.0,1712048399999,6486368.59362365,350584,13581611853.0,2871623.75545661,-0.03423386639522447
1712048400000,0.0002076,0.00021151,0.0002052,0.00021049,33670323965.0,1712051999999,7024643.96017666,531124,15231306725.0,3180081.20639772,0.0138249947640173
1712052000000,0.00021049,0.00021054,0.00020613,0.00020788,18606916725.0,1712055599999,3876301.50722436,508106,9042965269.0,1883928.25586384,-0.012477155915509925
1712055600000,0.00020787,0.00021065,0.00020441,0.0002106,27503717108.0,1712059199999,5698014.69458732,536515,13274404806.0,2753032.93502865,0.012999609559633994
1712059200000,0.0002106,0.0002132,0.00020863,0.00020932,19589601376.0,1712062799999,4129595.13826364,373950,10405452223.0,2194278.49389479,-0.006096418195867953
1712062800000,0.00020931,0.00021061,0.00020523,0.0002101,23427194453.0,1712066399999,4865179.27448672,528796,12448758163.0,2586367.49781106,0.003719426346947788
1712066400000,0.00021011,0.00021323,0.00020807,0.00020996,55439525095.0,1712069999999,11651903.58177912,459081,29462100250.0,6192069.64468557,-0.0006665714668557885
1712070000000,0.00021,0.00021238,0.00020513,0.00020594,25417584879.0,1712073599999,5318651.60080514,467306,13673569204.0,2862328.82732206,-0.01933217215549434
1712073600000,0.00020593,0.00021056,0.000205,0.00020988,18848719355.0,1712077199999,3911757.00111797,498399,9794819026.0,2033106.08541943,0.01895107458990614
1712077200000,0.00020989,0.00021054,0.00020728,0.00020938,11515270261.0,1712080799999,2403998.88686059,367425,5295371622.0,1105628.46135888,-0.0023851559273019977
1712080800000,0.00020938,0.00021164,0.00020797,0.00021109,15871966069.0,1712084399999,3327821.4828981,300524,8076656605.0,1694108.93355832,0.008133799926770185
1712084400000,0.00021109,0.0002129,0.00021,0.00021103,17673217263.0,1712087999999,3737487.44123397,282329,8537226887.0,1804978.98180815,-0.0002842793537576665
1712088000000,0.00021103,0.00021116,0.00020849,0.00020948,11668538446.0,1712091599999,2448866.08256998,286814,5016588999.0,1052790.28981769,-0.0073720340529344714
