Open time,LogReturns,LogLow/O,LogHigh/O
1609545600000,-0.0136733019002098,-0.01665797061670804,0.00015438054835759107
1609549200000,0.00763659910078,-0.002034907174754186,0.0071673725339477246
1609552800000,-0.0192811051848602,-0.01975605176229933,0.003255059837552865
1609556400000,-0.001425516991221,-0.005872566674863466,0.0
1609560000000,0.0060050749356606,-0.002539280843875946,0.006005074935660659
1609563600000,0.0042449556708116,0.0,0.0064389700284329665
1609567200000,-0.0066110739763789,-0.010567088313630402,0.0004705513379900106
1609570800000,0.0012626264303687,-0.001264822303006674,0.0028400145311647806
1609574400000,-0.0034760660692411,-0.004109378313334744,0.0004730742026254897
1609578000000,-0.0050777640045175,-0.006664575604232392,0.0001581402707494517
1609581600000,0.0019071843034569,-0.0038210522529650293,0.011847543997285437
1609585200000,0.0123088188090808,-0.0007938398448162354,0.011832590527995401
1609588800000,-0.001726709478544,-0.007241845251321433,0.004850960142476546
1609592400000,0.0028239742645503,-0.0004712165327121487,0.010310980274752635
1609596000000,-0.004711063989524,-0.010708763754111894,0.0009394082419358352
1609599600000,-0.0080600989493133,-0.009498250923409002,0.006908490343811635
1609603200000,-0.0019059726227336,-0.005569272092544375,0.009475749991869509
1609606800000,-0.0030252391514653,-0.0030290975731790404,0.0036545683004280405
1609610400000,-0.0011168728723818,-0.003670900299745261,0.01014432538249982
1609614000000,0.0065240107283808,-0.00223749494019182,0.010165271776850893
1609617600000,-0.0159875507603121,-0.024890887598456313,0.0009511731852196448
1609621200000,0.0048231604754292,-0.008742163495865818,0.021053409197832496
1609624800000,0.0044807244112758,-0.002247191956904815,0.013694481532490477
1609628400000,0.0057315870965162,-0.005925231523859209,0.005731587096516277
1609632000000,0.0071185936927547,-0.0033378398628391426,0.006957649825921064
1609635600000,0.0161054219959364,-0.0012628257400398857,0.018753479748306323
1609639200000,0.0078795309184254,-0.00015493066883576212,0.006639412948302836
1609642800000,-0.0009237875945638,-0.004782114782452829,0.003226552695493712
1609646400000,-0.0016958302067657,-0.0047828525951527645,0.0006154793239376843
1609650000000,-0.0082113715703127,-0.008522558751912268,0.001695830206765836
1609653600000,-0.0031162381092081,-0.00577089646493828,0.004654779544982501
1609657200000,0.0139472274808505,-0.0012496096596399942,0.014413267725245593
1609660800000,0.0217681173116679,-0.004317662837082847,0.023269242418469338
1609664400000,0.0121231747443371,0.0,0.012866724484892011
1609668000000,0.0078536374628505,-0.005666582416061328,0.008734973001699176
1609671600000,-0.0048827499538956,-0.004883472524278121,0.0014751440940219407
1609675200000,-0.0068462836246948,-0.009229002689428112,0.0029590197652009653
1609678800000,0.000149331740739,-0.0028381526258754453,0.003870780476854574
1609682400000,0.0013429831161237,-0.0031378434412558387,0.0026817656120082245
